index,date,competitionId,roundTypeId,attempt,value
329,2014-01-03,DuisburgWinter2014,f,5,9.16
330,2014-01-18,FrankfurtCubeDays2014,1,1,9.4
331,2014-01-18,FrankfurtCubeDays2014,1,2,10.21
332,2014-01-18,FrankfurtCubeDays2014,1,3,8.15
333,2014-01-18,FrankfurtCubeDays2014,1,4,8.36
334,2014-01-18,FrankfurtCubeDays2014,1,5,9.870000000000001
335,2014-01-18,FrankfurtCubeDays2014,2,1,12.1
336,2014-01-18,FrankfurtCubeDays2014,2,2,7.9
337,2014-01-18,FrankfurtCubeDays2014,2,3,9.870000000000001
338,2014-01-18,FrankfurtCubeDays2014,2,4,7.92
339,2014-01-18,FrankfurtCubeDays2014,2,5,7.03
340,2014-01-18,FrankfurtCubeDays2014,f,1,8.36
341,2014-01-18,FrankfurtCubeDays2014,f,2,11.13
342,2014-01-18,FrankfurtCubeDays2014,f,3,8.84
343,2014-01-18,FrankfurtCubeDays2014,f,4,7.69
344,2014-01-18,FrankfurtCubeDays2014,f,5,9.61
345,2014-04-18,VelbertEasterOpen2014,1,1,9.69
346,2014-04-18,VelbertEasterOpen2014,1,2,7.71
347,2014-04-18,VelbertEasterOpen2014,1,3,7.83
348,2014-04-18,VelbertEasterOpen2014,1,4,7.69
349,2014-04-18,VelbertEasterOpen2014,1,5,9.69
350,2014-04-18,VelbertEasterOpen2014,2,1,8.68
351,2014-04-18,VelbertEasterOpen2014,2,2,9.4
352,2014-04-18,VelbertEasterOpen2014,2,3,8.28
353,2014-04-18,VelbertEasterOpen2014,2,4,7.71
354,2014-04-18,VelbertEasterOpen2014,2,5,7.97
355,2014-04-18,VelbertEasterOpen2014,f,1,9.59
356,2014-04-18,VelbertEasterOpen2014,f,2,8.13
357,2014-04-18,VelbertEasterOpen2014,f,3,8.78
358,2014-04-18,VelbertEasterOpen2014,f,4,8.86
359,2014-04-18,VelbertEasterOpen2014,f,5,9.75
360,2014-08-08,Euro2014,1,1,7.96
361,2014-08-08,Euro2014,1,2,7.46
362,2014-08-08,Euro2014,1,3,9.17
363,2014-08-08,Euro2014,1,4,10.040000000000001
364,2014-08-08,Euro2014,1,5,7.23
365,2014-08-08,Euro2014,2,1,9.72
366,2014-08-08,Euro2014,2,2,7.98
367,2014-08-08,Euro2014,2,3,10.06
368,2014-08-08,Euro2014,2,4,8.790000000000001
369,2014-08-08,Euro2014,2,5,6.640000000000001
370,2014-08-08,Euro2014,3,1,7.83
371,2014-08-08,Euro2014,3,2,10.51
372,2014-08-08,Euro2014,3,3,7.28
373,2014-08-08,Euro2014,3,4,7.24
374,2014-08-08,Euro2014,3,5,8.36
375,2014-08-08,Euro2014,f,1,8.21
376,2014-08-08,Euro2014,f,2,9.21
377,2014-08-08,Euro2014,f,3,10.34
378,2014-08-08,Euro2014,f,4,7.0600000000000005
379,2014-08-08,Euro2014,f,5,7.3500000000000005
380,2014-09-06,GermanNationals2014,1,1,8.19
381,2014-09-06,GermanNationals2014,1,2,9.9
382,2014-09-06,GermanNationals2014,1,3,10.21
383,2014-09-06,GermanNationals2014,1,4,8.71
384,2014-09-06,GermanNationals2014,1,5,8.9
385,2014-09-06,GermanNationals2014,2,1,8.77
386,2014-09-06,GermanNationals2014,2,2,9.06
387,2014-09-06,GermanNationals2014,2,3,8.69
388,2014-09-06,GermanNationals2014,2,4,8.69
389,2014-09-06,GermanNationals2014,2,5,9.53
390,2014-09-06,GermanNationals2014,f,1,7.13
391,2014-09-06,GermanNationals2014,f,2,8.16
392,2014-09-06,GermanNationals2014,f,3,11.13
393,2014-09-06,GermanNationals2014,f,4,8.34
394,2014-09-06,GermanNationals2014,f,5,8.41
395,2014-10-04,SebraOpen2014,1,1,8.22
396,2014-10-04,SebraOpen2014,1,2,7.9
397,2014-10-04,SebraOpen2014,1,3,8.44
398,2014-10-04,SebraOpen2014,1,4,11.040000000000001
399,2014-10-04,SebraOpen2014,1,5,8.46
400,2014-10-04,SebraOpen2014,2,1,7.21
401,2014-10-04,SebraOpen2014,2,2,8.36
402,2014-10-04,SebraOpen2014,2,3,9.81
403,2014-10-04,SebraOpen2014,2,4,14.94
404,2014-10-04,SebraOpen2014,2,5,7.9
405,2014-10-04,SebraOpen2014,f,1,10.34
406,2014-10-04,SebraOpen2014,f,2,7.03
407,2014-10-04,SebraOpen2014,f,3,7.75
408,2014-10-04,SebraOpen2014,f,4,8.77
409,2014-10-04,SebraOpen2014,f,5,8.52
410,2014-11-08,MunichOpen2014,1,1,9.13
411,2014-11-08,MunichOpen2014,1,2,8.31
412,2014-11-08,MunichOpen2014,1,3,7.8
413,2014-11-08,MunichOpen2014,1,4,8.78
414,2014-11-08,MunichOpen2014,1,5,8.72
415,2014-11-08,MunichOpen2014,2,1,8.31
416,2014-11-08,MunichOpen2014,2,2,8.8
417,2014-11-08,MunichOpen2014,2,3,8.59
418,2014-11-08,MunichOpen2014,2,4,8.88
419,2014-11-08,MunichOpen2014,2,5,8.15
420,2014-11-08,MunichOpen2014,f,1,7.84
421,2014-11-08,MunichOpen2014,f,2,10.86
422,2014-11-08,MunichOpen2014,f,3,10.03
423,2014-11-08,MunichOpen2014,f,4,9.31
424,2014-11-08,MunichOpen2014,f,5,8.02
425,2015-02-21,HessenOpen2015,1,1,8.15
426,2015-02-21,HessenOpen2015,1,2,7.73
427,2015-02-21,HessenOpen2015,1,3,9.09
428,2015-02-21,HessenOpen2015,1,4,7.86
429,2015-02-21,HessenOpen2015,1,5,7.58
430,2015-02-21,HessenOpen2015,2,1,8.8
431,2015-02-21,HessenOpen2015,2,2,9.91
432,2015-02-21,HessenOpen2015,2,3,9.05
433,2015-02-21,HessenOpen2015,2,4,7.09
434,2015-02-21,HessenOpen2015,2,5,9.69
435,2015-02-21,HessenOpen2015,f,1,7.98
436,2015-02-21,HessenOpen2015,f,2,6.86
437,2015-02-21,HessenOpen2015,f,3,7.22
438,2015-02-21,HessenOpen2015,f,4,11.53
439,2015-02-21,HessenOpen2015,f,5,7.74
440,2015-04-18,GermanOpen2015,1,1,7.7
441,2015-04-18,GermanOpen2015,1,2,8.78
442,2015-04-18,GermanOpen2015,1,3,8.22
443,2015-04-18,GermanOpen2015,1,4,7.34
444,2015-04-18,GermanOpen2015,1,5,7.9
445,2015-04-18,GermanOpen2015,2,1,8.21
446,2015-04-18,GermanOpen2015,2,2,7.3500000000000005
447,2015-04-18,GermanOpen2015,2,3,7.18
448,2015-04-18,GermanOpen2015,2,4,10.75
449,2015-04-18,GermanOpen2015,2,5,8.08
450,2015-04-18,GermanOpen2015,f,1,10.13
451,2015-04-18,GermanOpen2015,f,2,7.0200000000000005
452,2015-04-18,GermanOpen2015,f,3,8.36
453,2015-04-18,GermanOpen2015,f,4,6.96
454,2015-04-18,GermanOpen2015,f,5,8.02
455,2015-06-06,VelbertOpen2015,1,1,9.02
456,2015-06-06,VelbertOpen2015,1,2,7.16
457,2015-06-06,VelbertOpen2015,1,3,9.59
458,2015-06-06,VelbertOpen2015,1,4,9.22
459,2015-06-06,VelbertOpen2015,1,5,8.56
460,2015-06-06,VelbertOpen2015,2,1,8.0
461,2015-06-06,VelbertOpen2015,2,2,8.13
462,2015-06-06,VelbertOpen2015,2,3,10.4
463,2015-06-06,VelbertOpen2015,2,4,6.44
464,2015-06-06,VelbertOpen2015,2,5,6.58
465,2015-06-06,VelbertOpen2015,f,1,7.91
466,2015-06-06,VelbertOpen2015,f,2,6.58
467,2015-06-06,VelbertOpen2015,f,3,8.41
468,2015-06-06,VelbertOpen2015,f,4,8.72
469,2015-06-06,VelbertOpen2015,f,5,9.52
470,2015-09-05,GermanNationals2015,1,1,7.0600000000000005
471,2015-09-05,GermanNationals2015,1,2,7.8100000000000005
472,2015-09-05,GermanNationals2015,1,3,8.31
473,2015-09-05,GermanNationals2015,1,4,10.88
474,2015-09-05,GermanNationals2015,1,5,8.61
475,2015-09-05,GermanNationals2015,2,1,7.44
476,2015-09-05,GermanNationals2015,2,2,9.4
477,2015-09-05,GermanNationals2015,2,3,7.33
478,2015-09-05,GermanNationals2015,2,4,8.03
479,2015-09-05,GermanNationals2015,2,5,8.88
480,2015-09-05,GermanNationals2015,f,1,8.06
481,2015-09-05,GermanNationals2015,f,2,6.61
482,2015-09-05,GermanNationals2015,f,3,8.34
483,2015-09-05,GermanNationals2015,f,4,8.91
484,2015-09-05,GermanNationals2015,f,5,11.03
485,2016-01-09,Cubelonia2016,1,1,7.36
486,2016-01-09,Cubelonia2016,1,2,6.47
487,2016-01-09,Cubelonia2016,1,3,8.61
488,2016-01-09,Cubelonia2016,1,4,8.97
489,2016-01-09,Cubelonia2016,1,5,9.22
490,2016-01-09,Cubelonia2016,2,1,8.91
491,2016-01-09,Cubelonia2016,2,2,8.02
